key	value
533	N13900
534	N15001
535	N15002
536	N15003
537	N15004
538	N15005
539	N15006
540	N15007
541	N15008
542	N15009
543	N15010
544	N15011
545	N15012
546	N15013
547	N15014
548	N15015
549	N15016
550	N15017
551	N15018
552	N15019
553	N15020
554	N15021
555	N15022
556	N15023
557	N15024
558	N15025
559	N15026
560	N15027
561	N15028
562	N15029
563	N15030
564	N15031
565	N15032
566	N15033
567	N15034
568	N15035
569	N15036
570	N15037
571	N15038
572	N15100
573	N15101
574	N15400
575	N15401
576	N15402
577	N15403
578	N15404
579	N15405
580	N15406
581	N15407
582	N15408
583	N15409
584	N15410
585	N15411
586	N15412
587	N15413
588	N15414
589	N15415
590	N15416
591	N15417
592	N15418
593	N15419
594	N15420
595	N15421
596	N15422
597	N15423
598	N15424
599	N15425
600	N15426
601	N15427
602	N15428
603	N15429
604	N15430
605	N15431
606	N15432
607	N15433
608	N15434
609	N15435
610	N15436
611	N15500
612	N15501
613	N15806
614	N15890
615	N17001
616	N17002
617	N17003
618	N17004
619	N17005
620	N17006
621	N17007
622	N17008
623	N17009
624	N17010
625	N17011
626	N17012
627	N17013
628	N17014
629	N17015
630	N17016
631	N17017
632	N17018
633	N17019
634	N17020
635	N17021
636	N17022
637	N17500
638	N17800
639	N17891
640	N17892
641	N17893
642	N17894
643	N17895
644	N17896
645	N17897
646	N17898
647	N17899
648	N18001
649	N18002
650	N18003
651	N18004
652	N18005
653	N18006
654	N18007
655	N18008
656	N18009
657	N18010
658	N18011
659	N18012
660	N18013
661	N18014
662	N18015
663	N18016
664	N18017
665	N18018
666	N18019
667	N18020
668	N18100
669	N18101
670	N18500
671	N18800
672	N18890
673	N18891
674	N18892
675	N18893
676	N18894
677	N18895
678	N20001
679	N20002
680	N20003
681	N20004
682	N20005
683	N20006
684	N20007
685	N20008
686	N20009
687	N20010
688	N20011
689	N20013
690	N20014
691	N20015
692	N20016
693	N20017
694	N20018
695	N20019
696	N20020
697	N20021
698	N20022
699	N20023
700	N20024
701	N20026
702	N20027
703	N20028
704	N20029
705	N20030
706	N20031
707	N20032
708	N20033
709	N20034
710	N20035
711	N20036
712	N20037
713	N20038
714	N20039
715	N20040
716	N20041
717	N20042
718	N20043
719	N20044
720	N20800
721	N20801
722	N20802
723	N20803
724	N20896
725	N20897
726	N20900
727	N21001
728	N21002
729	N21003
730	N21004
731	N21005
732	N21006
733	N21007
734	N21008
735	N21009
736	N21010
737	N21011
738	N21013
739	N21100
740	N21800
741	N21801
742	N21802
743	N21803
744	N21804
745	N21890
746	N23001
747	N23002
748	N23003
749	N23004
750	N23005
751	N23100
752	N23101
753	N23800
754	N23801
755	N23802
756	N23803
757	N23890
758	N24001
759	N24002
760	N25001
761	N25002
762	N25003
763	N25004
764	N25005
765	N25006
766	N25007
767	N25010
768	N25011
769	N25012
770	N25013
771	N25014
772	N25015
773	N25016
774	N25018
775	N25019
776	N25020
777	N25021
778	N25022
779	N25023
780	N25024
781	N25025
782	N25026
783	N25800
784	N25890
785	N25891
786	N25892
787	N25893
788	N26001
789	N26003
790	N26004
791	N26005
792	N26006
793	N26007
794	N26800
795	N28001
796	N28002
797	N28003
798	N28004
799	N28005
800	N28006
801	N28008
802	N28010
803	N28014
804	N28015
805	N28016
806	N28017
807	N28018
808	N28802
809	N28803
810	N28890
811	N29001
812	N30001
813	N30002
814	N30003
815	N30004
816	N30005
817	N30006
818	N30007
819	N30008
820	N30009
821	N30010
822	N30011
823	N30012
824	N30013
825	N30014
826	N30100
827	N30101
828	N30800
829	N30801
830	N30802
831	N30803
832	N31001
833	N31002
834	N31003
835	N31004
836	N31005
837	N31006
838	N31007
839	N31008
840	N31100
841	N31800
842	N31801
843	N31802
844	N31803
845	N31804
846	N31805
847	N33001
848	N33002
849	N33004
850	N33007
851	N33008
852	N33009
853	N33010
854	N33011
855	N33012
856	N33013
857	N33014
858	N33015
859	N33016
860	N33017
861	N33018
862	N33019
863	N33020
864	N33021
865	N33022
866	N33100
867	N33101
868	N33800
869	N33801
870	N33802
871	N33803
872	N33804
873	N33805
874	N33806
875	N33807
876	N33900
877	N35001
878	N35002
879	N35003
880	N35004
881	N35006
882	N35007
883	N35008
884	N35009
885	N35010
886	N35011
887	N35012
888	N35013
889	N35014
890	N35015
891	N35016
892	N35017
893	N35018
894	N35019
895	N35020
896	N35021
897	N35022
898	N35023
899	N35024
900	N35025
901	N35100
902	N35800
903	N35801
904	N35802
905	N35803
906	N35804
907	N35890
908	N35900
909	N37001
910	N37002
911	N37003
912	N37004
913	N37005
914	N37006
915	N37800
916	N40001
917	N40002
918	N40003
919	N40004
920	N40005
921	N40006
922	N40007
923	N40008
924	N40009
925	N40010
926	N40011
927	N45001
928	N45002
929	N45003
930	N45004
931	N45005
932	N45006
933	N45007
934	N45008
935	N45009
936	N45010
937	N45011
938	N45012
939	N45013
940	N45014
941	N45015
942	N45016
943	N45017
944	N45018
945	N45019
946	N45020
947	N45021
948	N45022
949	N45023
950	N45024
951	N45025
952	N45026
953	N45027
954	N45028
955	N45029
956	N45030
957	N45031
958	N45800
959	N45801
960	N60000
961	N60001
962	N60002
963	N60004
964	N60006
965	N60007
966	N60008
967	N60009
968	N60010
969	N60011
970	N60012
971	N60013
972	N60014
973	N60015
974	N60016
975	N60017
976	N60018
977	N60019
978	N60020
979	N60021
980	N60022
981	N60023
982	N60024
983	N60025
984	N60026
985	N60027
986	N60028
987	N60029
988	N60030
989	N60031
990	N60032
991	N60033
992	N60034
993	N60035
994	N60036
995	N60037
996	N60038
997	N60039
998	N60040
999	N60041
1000	N60042
1001	N60043
